pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,sy_dist
Kepler-1167 b,Kepler-1167,Transit,2016.0,1.003933739,1.71,3.57,4971.0,820.905
Kepler-1740 b,Kepler-1740,Transit,2021.0,8.172400475,3.32321414,11.0,5705.0,1061.77
Kepler-1581 b,Kepler-1581,Transit,2016.0,6.28385491,0.8,0.437,6022.0,493.175
Kepler-644 b,Kepler-644,Transit,2016.0,3.173917103,3.15,10.1,6747.0,1318.05
Kepler-1752 b,Kepler-1752,Transit,2021.0,56.35850143,4.54060463,18.7,5446.0,962.888
Kepler-280 c,Kepler-280,Transit,2014.0,4.807091,2.01,4.7,5744.0,780.361
Kepler-1208 b,Kepler-1208,Transit,2016.0,11.08507637,2.32,5.99,5001.0,825.176
Kepler-263 c,Kepler-263,Transit,2014.0,47.332773,2.47,6.66,5265.0,754.747
Kepler-1101 b,Kepler-1101,Transit,2016.0,81.3151059,2.47,6.66,5614.0,742.473
HD 168746 b,HD 168746,Radial Velocity,2002.0,6.404,11.1,85.8141,5570.0,41.5681
WASP-107 c,WASP-107,Radial Velocity,2020.0,1066.0,13.0,111.23994245,4425.0,64.7414
Kepler-560 b,Kepler-560,Transit,2016.0,18.47764449,1.72,3.61,3556.0,109.308
Kepler-150 d,Kepler-150,Transit,2014.0,12.56093,2.79,8.2,5560.0,891.092
Kepler-498 b,Kepler-498,Transit,2016.0,9.61375356,3.03,9.43,5744.0,938.844
Kepler-817 b,Kepler-817,Transit,2016.0,3.990106229,9.03,60.2,5861.0,1484.46
Kepler-937 b,Kepler-937,Transit,2016.0,67.668827,3.72,13.4,6095.0,1571.46
K2-10 b,K2-10,Transit,2015.0,19.30553,3.773,25.2,5533.0,272.36
Kepler-571 b,Kepler-571,Transit,2016.0,4.798599388,2.64,7.46,5527.0,723.875
Kepler-1458 b,Kepler-1458,Transit,2016.0,47.9872764,2.76,8.05,5653.0,544.45
K2-335 b,K2-335,Transit,2021.0,12.283211,2.21,5.52,6222.0,557.993
Kepler-1600 c,Kepler-1600,Transit,2021.0,7.298049927,1.94206512,4.43,5119.0,1030.81
Kepler-221 d,Kepler-221,Transit,2014.0,10.04156,2.73,3.61,5243.0,385.231
Kepler-626 b,Kepler-626,Transit,2016.0,14.48585199,2.29,5.86,5813.0,635.643
Kepler-1549 b,Kepler-1549,Transit,2016.0,214.886545,2.57,7.13,5324.0,803.052
K2-62 c,K2-62,Transit,2016.0,16.19697,1.99,4.62,4455.0,112.467
Kepler-1149 b,Kepler-1149,Transit,2016.0,3.73089898,1.44,2.67,5833.0,1217.73
Kepler-1288 b,Kepler-1288,Transit,2016.0,2.76122421,1.12,1.46,6132.0,814.078
Kepler-128 b,Kepler-128,Transit,2013.0,15.0,1.421,3.79,6072.0,396.379
Kepler-1245 b,Kepler-1245,Transit,2016.0,4.35409304,1.44,2.67,5306.0,805.936
Kepler-1068 b,Kepler-1068,Transit,2016.0,16.92344113,3.63,12.8,5806.0,1473.61
Kepler-311 c,Kepler-311,Transit,2014.0,19.738286,1.43,2.63,5905.0,778.654
Kepler-150 e,Kepler-150,Transit,2014.0,30.826557,3.12,9.91,5560.0,891.092
Kepler-272 c,Kepler-272,Transit,2014.0,6.057342,1.79,97.8,5297.0,889.608
Kepler-152 c,Kepler-152,Transit,2014.0,88.255055,2.39,6.3,5088.0,441.09
Kepler-1506 b,Kepler-1506,Transit,2016.0,14.0329154,1.32,2.3,5676.0,2366.02
CoRoT-3 b,CoRoT-3,Transit,2008.0,4.2568,11.32,6883.91,6740.0,768.771
HD 205739 b,HD 205739,Radial Velocity,2008.0,279.8,13.6,435.41,6176.0,92.5087
NGTS-10 b,NGTS-10,Transit,2020.0,0.7668944,13.506845,687.14846,4600.0,324.69865036
HD 224693 b,HD 224693,Radial Velocity,2006.0,26.6904,14.0,222.481,5894.0,93.5015
HD 156279 b,HD 156279,Radial Velocity,2011.0,133.40355,12.5,2997.75753482,5453.0,36.1945
HD 12661 b,HD 12661,Radial Velocity,2000.0,262.70862,13.3,772.3269,5645.0,37.8478
HD 16417 b,HD 16417,Radial Velocity,2008.0,17.24,5.0,22.1,5841.0,25.3936
HD 19994 b,HD 19994,Radial Velocity,2003.0,466.2,13.6,435.41,6188.0,22.5242
HD 156279 c,HD 156279,Radial Velocity,2018.0,4818.25358,12.5,3098.82696825,5453.0,36.1945
GJ 179 b,GJ 179,Radial Velocity,2009.0,2288.0,13.8,301.93698665,3370.0,12.356
GJ 832 b,GJ 832,Radial Velocity,2008.0,3853.0,13.8,314.65012293,3472.0,4.96435
HD 37605 b,HD 37605,Radial Velocity,2004.0,55.01292,13.2,854.9627,5329.0,46.7864
HD 33283 b,HD 33283,Radial Velocity,2006.0,18.1991,12.5,104.56607,5935.0,89.8623
HD 9446 b,HD 9446,Radial Velocity,2009.0,30.052,14.0,222.472,5793.0,50.3503
HD 134987 c,HD 134987,Radial Velocity,2009.0,5000.0,13.9,260.0,5585.0,26.1804
HD 110014 b,HD 110014,Radial Velocity,2009.0,835.477,12.4,3524.59,4445.0,100.758
HD 79498 b,HD 79498,Radial Velocity,2011.0,1807.0,13.6,425.8922,5748.0,48.9489
HD 45652 b,HD 45652,Radial Velocity,2008.0,44.073,14.3,137.62039,5294.0,34.8541
HIP 79431 b,HIP 79431,Radial Velocity,2009.0,111.7,13.4,667.415,3191.0,14.5324
HD 3167 b,HD 3167,Transit,2016.0,0.959641,1.67,4.97,5261.0,47.2899
GJ 876 b,GJ 876,Radial Velocity,1998.0,61.1166,13.3,723.2235,3293.74,4.67517
HD 114783 c,HD 114783,Radial Velocity,2018.0,4352.0,13.4,603.8739733,5135.0,21.0628
HD 47186 c,HD 47186,Radial Velocity,2008.0,1353.6,13.0,111.42,5657.0,37.4574
HD 114783 b,HD 114783,Radial Velocity,2001.0,493.7,13.7,349.6,5135.0,21.0628
HD 148156 b,HD 148156,Radial Velocity,2009.0,1027.0,13.9,270.144,6308.0,57.1289
HD 12661 c,HD 12661,Radial Velocity,2002.0,1708.0,13.2,899.45439181,5748.0,37.8478
HIP 14810 c,HIP 14810,Radial Velocity,2006.0,147.747,13.6,416.3573,5544.0,50.48
HIP 14810 b,HIP 14810,Radial Velocity,2005.0,6.673892,13.0,1239.537,5544.0,50.48
GJ 876 d,GJ 876,Radial Velocity,2005.0,1.93778,2.51,6.83,3293.74,4.67517
GJ 876 e,GJ 876,Radial Velocity,2010.0,124.26,3.92,14.6,3293.74,4.67517
gam1 Leo b,gam1 Leo,Radial Velocity,2009.0,428.5,12.5,2790.43,4330.0,39.8883
HD 156411 b,HD 156411,Radial Velocity,2009.0,842.2,14.0,235.18,5900.0,56.8655
HD 8535 b,HD 8535,Radial Velocity,2010.0,1313.0,14.0,216.1244,6136.0,55.4401
HD 37605 c,HD 37605,Radial Velocity,2012.0,2720.0,13.1,1013.8777,5329.0,46.7864
HD 1605 c,HD 1605,Radial Velocity,2015.0,2149.0,13.0,1150.5446,4915.0,88.8047
BD+20 2457 b,BD+20 2457,Radial Velocity,2009.0,379.63,12.1,6807.63,4137.0,1539.71
HD 240210 b,HD 240210,Radial Velocity,2009.0,501.75,12.8,1655.82,4297.0,372.405
CoRoT-17 b,CoRoT-17,Transit,2011.0,3.7681,11.43,772.29,5740.0,1176.12
HD 132563 b,HD 132563,Radial Velocity,2011.0,1544.0,13.6,473.547,6289.0,105.155
HD 55696 b,HD 55696,Radial Velocity,2018.0,1827.0,12.9,1357.12729789,6012.0,77.9693
HD 148164 b,HD 148164,Radial Velocity,2018.0,328.55,13.7,390.9309,6032.0,77.1971
24 Sex c,24 Sex,Radial Velocity,2010.0,883.0,13.9,273.32,5098.0,72.0691
HD 22781 b,HD 22781,Radial Velocity,2011.0,528.07,12.3,4338.2,5027.0,32.6034
HD 68988 b,HD 68988,Radial Velocity,2001.0,6.27711,13.4,626.1251,5932.0,60.8447
